id,id_imdb,titulo,estado,tipo,mi_valoracion,fecha_vista
1402,tt0454921,En busca de la felicidad,3,película,6,2024-04-17
37165,tt0120382,El show de Truman,1,película,,
187017,tt2294449,Infiltrados en la universidad,3,película,7,2025-06-06
18925,tt0805526,Gigantes hacia la victoria,3,película,6,2025-07-21
394161,tt5114984,Outsider,1,película,,
579974,tt8178634,RRR,3,película,6,2024-05-06
838240,tt13429870,Robot Dreams,1,película,,
51876,tt1219289,Sin límites,3,película,7,2024-07-03
843527,tt9466114,La idea de tenerte,3,película,6,2024-05-23
574451,tt7737224,Mil veces hasta siempre,3,película,6,2024-05-29
1143319,tt28182736,Amor perruno,3,película,6,2024-05-31
329865,tt2543164,La llegada,3,película,6,2024-06-09
609242,tt10948718,El robo del siglo,3,película,6.5,2024-06-25
1011985,tt21692408,Kung Fu Panda 4,3,película,6,2024-06-27
19913,tt1022603,(500) días juntos,3,película,6,2024-07-01
1172648,tt28301898,Solo una noche de juegos,1,película,,
782,tt0119177,Gattaca,3,película,7.5,2024-08-01
843543,tt14900738,Una cita casi perfecta,3,película,6,2024-08-01
389,tt0050083,12 hombres sin piedad,1,película,,
2023,tt0317648,Océanos de fuego (Hidalgo),3,película,6.5,2024-08-22
83542,tt1371111,El atlas de las nubes,1,película,,
752,tt0434409,V de Vendetta,3,película,8,2024-08-24
41413,tt1513892,Perdona pero quiero casarme contigo,3,película,6,2024-08-28
603,tt0133093,Matrix,3,película,6,2024-09-11
50839,tt1615147,Margin Call,3,película,5.5,2025-03-23
44639,tt1645089,Inside Job,1,película,,
22947,tt1193138,Up in the Air,3,película,7,2024-09-16
193893,tt1924435,Vamos de polis,3,película,6,2024-09-22
888479,tt15397918,Juego de amor,3,película,5.5,2024-10-03
763148,tt13438734,Se terminó el tiempo,3,película,6,2024-09-20
1022789,tt22022452,Del revés 2 (Inside Out 2),3,película,6,2024-10-05
301351,tt3787590,We Are Your Friends,3,película,6.5,2024-10-06
284536,tt2039393,El jugador,3,película,7,2024-12-15
9778,tt0240890,Serendipity,1,película,,
1010581,tt21909764,Culpa mía,3,película,5.5,2024-12-30
1156593,tt28510079,Culpa tuya,3,película,6,2025-01-02
823219,tt4772188,"Flow, un mundo que salvar",1,película,,
207703,tt2802144,Kingsman: Servicio secreto,3,película,7,2025-01-14
77016,tt1855199,Sin Tregua,1,película,,
1100099,tt27131358,Vivir el momento,3,película,6.5,2025-01-27
1064213,tt28607951,Anora,3,película,6,2025-01-15
10184,tt1001508,Qué les pasa a los hombres,1,película,,
343668,tt4649466,Kingsman: El círculo de oro,3,película,6.5,2025-02-11
446696,tt5989218,Como la vida misma,3,película,6,2025-02-11
1294203,tt32434379,Culpa mía: Londres,1,película,,
1203329,tt15495150,The Witcher: Sirenas de las profundidades,1,película,,
660982,tt11771594,American Pie presenta: Las chicas mandan,3,película,6,2025-02-24
453,tt0268978,Una mente maravillosa,3,película,6.5,2025-03-05
31023,tt0188030,La lengua de las mariposas,3,película,5.5,2025-03-20
807196,tt11127680,Hierve,1,película,,
22971,tt0989757,Querido John,3,película,7,2025-08-27
23169,tt1403981,Recuérdame,3,película,6.5,2025-03-24
976893,tt27503384,Perfect Days,1,película,,
4951,tt0147800,10 razones para odiarte,3,película,7.5,2025-03-28
666277,tt13238346,Vidas pasadas,3,película,6,2025-03-31
840430,tt14849194,Los que se quedan,1,película,,
